model,metric,seed42,seed123,seed2024,mean,std
V2S,dice_IRF,0.8716139824746376,0.8693623913040344,0.8563205698647035,0.8658,0.0067
V2S,dice_SRF,0.8308114960307011,0.8300854282892699,0.8207687174507123,0.8272,0.0046
V2S,dice_PED,0.5300626363828042,0.5073376724006725,0.5178995756475588,0.5184,0.0093
V2S,dice_mean_fluid,0.7441627049627143,0.7355951639979922,0.7316629543209916,0.7371,0.0052
V2L,dice_IRF,0.9168163426529163,0.9193717022737923,0.9113193368651239,0.9158,0.0034
V2L,dice_SRF,0.8523587710151892,0.8550029952165207,0.860519245721704,0.856,0.0034
V2L,dice_PED,0.5958365363144282,0.5909511241756528,0.5565838620619513,0.5811,0.0175
V2L,dice_mean_fluid,0.7883372166608446,0.7884419405553219,0.7761408148829264,0.7843,0.0058
